quarter,industry1,industry2,industry3,employment_change,,,,,,
2021-Q3,services,wholesale and retail trade,wholesale trade,-4.6,,,,,,
2021-Q3,services,wholesale and retail trade,retail trade,0.6,,,,,,
2021-Q3,services,transportation and storage,land transport and supporting services,0.2,,,,,,
2021-Q3,services,transportation and storage,water transport and supporting services,-0.2,,,,,,
2021-Q3,services,transportation and storage,air transport and supporting services,-0.1,,,,,,
2021-Q3,services,transportation and storage,other transportation and storage services,1.4,,,,,,
2021-Q3,services,accommodation and food services,accommodation,-0.7,,,,,,
2021-Q3,services,accommodation and food services,food and beverage services,-2.2,,,,,,
2021-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.9,,,,,,
2021-Q3,services,information and communications,it and other information services,5.7,,,,,,
2021-Q3,services,financial and insurance services,financial services,1.1,,,,,,
2021-Q3,services,financial and insurance services,insurance services,-1.3,,,,,,
2021-Q3,services,real estate services,real estate services,-4.1,,,,,,
2021-Q3,services,professional services,"legal, accounting and management services",2.1,,,,,,
2021-Q3,services,professional services,architectural and engineering services,0.5,,,,,,
2021-Q3,services,professional services,other professional services,1.1,,,,,,
2021-Q3,services,administrative and support services,security and investigation,0.1,,,,,,
2021-Q3,services,administrative and support services,cleaning and landscaping,0.8,,,,,,
2021-Q3,services,administrative and support services,other administrative and support services,2.3,,,,,,
2021-Q3,services,"community, social and personal services",public administration,-1.8,,,,,,
2021-Q3,services,"community, social and personal services",education,-0.4,,,,,,
2021-Q3,services,"community, social and personal services",health and social services,0.7,,,,,,
2021-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.3,,,,,,
2021-Q3,services,"community, social and personal services","other community, social and personal services",-7,,,,,,
2021-Q3,others,others,others,0.6,,,,,,
2021-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.8,,,,,,
2021-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.1,,,,,,
2021-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.5,,,,,,
2021-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.2,,,,,,
2021-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",0.8,,,,,,
2021-Q4,manufacturing,transport equipment,transport equipment,0.5,,,,,,
2021-Q4,manufacturing,other manufacturing industries,other manufacturing industries,1.4,,,,,,
2021-Q4,construction,construction,construction,16.8,,,,,,
2021-Q4,services,wholesale and retail trade,wholesale trade,2.7,,,,,,
2021-Q4,services,wholesale and retail trade,retail trade,3.6,,,,,,
2021-Q4,services,transportation and storage,land transport and supporting services,2,,,,,,
2021-Q4,services,transportation and storage,water transport and supporting services,0.5,,,,,,
2021-Q4,services,transportation and storage,air transport and supporting services,0.5,,,,,,
2021-Q4,services,transportation and storage,other transportation and storage services,-0.6,,,,,,
2021-Q4,services,accommodation and food services,accommodation,0.8,,,,,,
2021-Q4,services,accommodation and food services,food and beverage services,4.9,,,,,,
2021-Q4,services,information and communications,"telecommunications, broadcasting and publishing",-0.1,,,,,,
2021-Q4,services,information and communications,it and other information services,1.2,,,,,,
2021-Q4,services,financial and insurance services,financial services,0.6,,,,,,
2021-Q4,services,financial and insurance services,insurance services,1,,,,,,
2021-Q4,services,real estate services,real estate services,2.2,,,,,,
2021-Q4,services,professional services,"legal, accounting and management services",1.1,,,,,,
2021-Q4,services,professional services,architectural and engineering services,-,,,,,,
2021-Q4,services,professional services,other professional services,-0.7,,,,,,
2021-Q4,services,administrative and support services,security and investigation,-0.7,,,,,,
2021-Q4,services,administrative and support services,cleaning and landscaping,0.8,,,,,,
2021-Q4,services,administrative and support services,other administrative and support services,1.5,,,,,,
2021-Q4,services,"community, social and personal services",public administration,0.9,,,,,,
2021-Q4,services,"community, social and personal services",education,1,,,,,,
2021-Q4,services,"community, social and personal services",health and social services,0.8,,,,,,
2021-Q4,services,"community, social and personal services","arts, entertainment and recreation",-,,,,,,
2021-Q4,services,"community, social and personal services","other community, social and personal services",6,,,,,,
2021-Q4,others,others,others,-0.1,,,,,,
2022-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.6,,,,,,
2022-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.5,,,,,,
2022-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",4.1,,,,,,
2022-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-,,,,,,
2022-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",0.3,,,,,,
2022-Q1,manufacturing,transport equipment,transport equipment,1.3,,,,,,
2022-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.4,,,,,,
2022-Q1,construction,construction,construction,20.9,,,,,,
2022-Q1,services,wholesale and retail trade,wholesale trade,0.9,,,,,,
2022-Q1,services,wholesale and retail trade,retail trade,-1.3,,,,,,
2022-Q1,services,transportation and storage,land transport and supporting services,-3.9,,,,,,
2022-Q1,services,transportation and storage,water transport and supporting services,0.3,,,,,,
2022-Q1,services,transportation and storage,air transport and supporting services,0.6,,,,,,
2022-Q1,services,transportation and storage,other transportation and storage services,-0.3,,,,,,
2022-Q1,services,accommodation and food services,accommodation,-0.1,,,,,,
2022-Q1,services,accommodation and food services,food and beverage services,0.2,,,,,,
2022-Q1,services,information and communications,"telecommunications, broadcasting and publishing",-0.3,,,,,,
2022-Q1,services,information and communications,it and other information services,4.7,,,,,,
2022-Q1,services,financial and insurance services,financial services,3.3,,,,,,
2022-Q1,services,financial and insurance services,insurance services,0.5,,,,,,
2022-Q1,services,real estate services,real estate services,2.4,,,,,,
2022-Q1,services,professional services,"legal, accounting and management services",2.7,,,,,,
2022-Q1,services,professional services,architectural and engineering services,0.1,,,,,,
2022-Q1,services,professional services,other professional services,1.8,,,,,,
2022-Q1,services,administrative and support services,security and investigation,-0.7,,,,,,
2022-Q1,services,administrative and support services,cleaning and landscaping,-0.4,,,,,,
2022-Q1,services,administrative and support services,other administrative and support services,0.5,,,,,,
2022-Q1,services,"community, social and personal services",public administration,0.7,,,,,,
2022-Q1,services,"community, social and personal services",education,0.4,,,,,,
2022-Q1,services,"community, social and personal services",health and social services,2.8,,,,,,
2022-Q1,services,"community, social and personal services","arts, entertainment and recreation",1.7,,,,,,
2022-Q1,services,"community, social and personal services","other community, social and personal services",7.3,,,,,,
2022-Q1,others,others,others,0.1,,,,,,
2022-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",2.5,,,,,,
2022-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,0.4,,,,,,
2022-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.8,,,,,,
2022-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.9,,,,,,
2022-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",2.9,,,,,,
2022-Q2,manufacturing,transport equipment,transport equipment,1.5,,,,,,
2022-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.8,,,,,,
2022-Q2,construction,construction,construction,24.6,,,,,,
2022-Q2,services,wholesale and retail trade,wholesale trade,2.4,,,,,,
2022-Q2,services,wholesale and retail trade,retail trade,-0.8,,,,,,
2022-Q2,services,transportation and storage,land transport and supporting services,-2.4,,,,,,
2022-Q2,services,transportation and storage,water transport and supporting services,0.6,,,,,,
2022-Q2,services,transportation and storage,air transport and supporting services,2.6,,,,,,
2022-Q2,services,transportation and storage,other transportation and storage services,2.2,,,,,,
2022-Q2,services,accommodation and food services,accommodation,1,,,,,,
